# Moving Average Trading Strategy Analysis
# Generated: 2025-09-07 13:50:49
# 
# Input file: C:/Users/Kcrow/OneDrive/Documents/SPY Buy Sell Strategy Analysis/SPY Price History.csv
# Date range: 2000-01-01 to 2001-01-01
# Short MA range: 5 to 20
# Long MA range: 120 to 170
# Initial investment: $10,000.00
# 
# Best combination: Short MA=5, Long MA=120, Annual Gain=-7.64%, Trades=2.0
# Buy-and-hold performance: Annual Gain=-9.91%
# 
# Reserved for future use
# Reserved for future use
# Reserved for future use
# 
# DATA START
long_ma,short_ma,annualized_gain,trade_count
128,10,,
128,11,,
128,12,,
128,13,,
128,14,,
128,15,,
128,16,,
128,17,,
128,18,,
128,19,,
128,20,,
129,5,-7.643035509420026,2.0
129,6,-16.77173922769718,2.0
129,7,,
129,8,,
129,9,,
129,10,,
129,11,,
129,12,,
129,13,,
129,14,,
129,15,,
129,16,,
129,17,,
129,18,,
129,19,,
129,20,,
130,5,-7.643035509420026,2.0
130,6,-16.77173922769718,2.0
130,7,,
130,8,,
130,9,,
130,10,,
130,11,,
130,12,,
130,13,,
130,14,,
130,15,,
130,16,,
130,17,,
130,18,,
130,19,,
130,20,,
131,5,-23.831438467268185,2.0
131,6,-26.511162566668467,2.0
131,7,,
131,8,,
131,9,,
131,10,,
131,11,,
131,12,,
131,13,,
131,14,,
131,15,,
131,16,,
131,17,,
131,18,,
131,19,,
131,20,,
132,5,-23.831438467268185,2.0
132,6,-23.831438467268185,2.0
132,7,,
132,8,,
132,9,,
132,10,,
132,11,,
132,12,,
132,13,,
132,14,,
132,15,,
132,16,,
132,17,,
132,18,,
132,19,,
132,20,,
133,5,-23.831438467268185,2.0
133,6,-23.831438467268185,2.0
133,7,,
133,8,,
133,9,,
133,10,,
133,11,,
133,12,,
133,13,,
133,14,,
133,15,,
133,16,,
133,17,,
133,18,,
133,19,,
133,20,,
134,5,-23.831438467268185,2.0
134,6,-23.831438467268185,2.0
134,7,,
134,8,,
134,9,,
134,10,,
134,11,,
134,12,,
134,13,,
134,14,,
134,15,,
134,16,,
134,17,,
134,18,,
134,19,,
134,20,,
135,5,-23.831438467268185,2.0
135,6,-23.831438467268185,2.0
135,7,,
135,8,,
135,9,,
135,10,,
135,11,,
135,12,,
135,13,,
135,14,,
135,15,,
135,16,,
135,17,,
135,18,,
135,19,,
135,20,,
136,5,-23.831438467268185,2.0
136,6,-23.831438467268185,2.0
136,7,,
136,8,,
136,9,,
136,10,,
136,11,,
136,12,,
136,13,,
136,14,,
136,15,,
136,16,,
136,17,,
136,18,,
136,19,,
136,20,,
137,5,-23.831438467268185,2.0
137,6,-23.831438467268185,2.0
137,7,,
137,8,,
137,9,,
137,10,,
137,11,,
137,12,,
137,13,,
137,14,,
137,15,,
137,16,,
137,17,,
137,18,,
137,19,,
137,20,,
138,5,,
138,6,,
138,7,,
138,8,,
138,9,,
138,10,,
138,11,,
138,12,,
138,13,,
138,14,,
138,15,,
138,16,,
138,17,,
138,18,,
138,19,,
138,20,,
139,5,-23.831438467268185,2.0
139,6,-23.831438467268185,2.0
139,7,,
139,8,,
139,9,,
139,10,,
139,11,,
139,12,,
139,13,,
139,14,,
139,15,,
139,16,,
139,17,,
139,18,,
139,19,,
139,20,,
140,5,,
140,6,,
140,7,,
140,8,,
140,9,,
140,10,,
140,11,,
140,12,,
140,13,,
140,14,,
140,15,,
140,16,,
140,17,,
140,18,,
140,19,,
140,20,,
141,5,-23.831438467268185,2.0
141,6,-23.831438467268185,2.0
141,7,,
141,8,,
141,9,,
141,10,,
141,11,,
141,12,,
141,13,,
141,14,,
141,15,,
141,16,,
141,17,,
141,18,,
141,19,,
141,20,,
142,5,-23.831438467268185,2.0
142,6,-23.831438467268185,2.0
142,7,,
142,8,,
142,9,,
142,10,,
142,11,,
142,12,,
142,13,,
142,14,,
142,15,,
142,16,,
142,17,,
142,18,,
142,19,,
142,20,,
143,5,-23.831438467268185,2.0
143,6,-23.831438467268185,2.0
143,7,,
143,8,,
143,9,,
143,10,,
143,11,,
143,12,,
143,13,,
143,14,,
143,15,,
143,16,,
143,17,,
143,18,,
143,19,,
143,20,,
144,5,-23.831438467268185,2.0
144,6,-23.831438467268185,2.0
144,7,,
144,8,,
144,9,,
144,10,,
144,11,,
144,12,,
144,13,,
144,14,,
144,15,,
144,16,,
144,17,,
144,18,,
144,19,,
144,20,,
145,5,-23.831438467268185,2.0
145,6,-23.831438467268185,2.0
145,7,,
145,8,,
145,9,,
145,10,,
145,11,,
145,12,,
145,13,,
145,14,,
145,15,,
145,16,,
145,17,,
145,18,,
145,19,,
145,20,,
146,5,-23.831438467268185,2.0
146,6,-23.831438467268185,2.0
146,7,,
146,8,,
146,9,,
146,10,,
146,11,,
146,12,,
146,13,,
146,14,,
146,15,,
146,16,,
146,17,,
146,18,,
146,19,,
146,20,,
147,5,-23.831438467268185,2.0
147,6,-23.831438467268185,2.0
147,7,,
147,8,,
147,9,,
147,10,,
147,11,,
147,12,,
147,13,,
147,14,,
147,15,,
147,16,,
147,17,,
147,18,,
147,19,,
147,20,,
148,5,-23.831438467268185,2.0
148,6,-23.831438467268185,2.0
148,7,,
148,8,,
148,9,,
148,10,,
148,11,,
148,12,,
148,13,,
148,14,,
148,15,,
148,16,,
148,17,,
148,18,,
148,19,,
148,20,,
149,5,,
149,6,,
149,7,,
149,8,,
149,9,,
149,10,,
149,11,,
149,12,,
149,13,,
149,14,,
149,15,,
149,16,,
149,17,,
149,18,,
149,19,,
149,20,,
150,5,,
150,6,,
150,7,,
150,8,,
150,9,,
150,10,,
150,11,,
150,12,,
150,13,,
150,14,,
150,15,,
150,16,,
150,17,,
150,18,,
150,19,,
150,20,,
151,5,,
151,6,,
151,7,,
151,8,,
151,9,,
151,10,,
151,11,,
151,12,,
151,13,,
151,14,,
151,15,,
151,16,,
151,17,,
151,18,,
151,19,,
151,20,,
152,5,,
152,6,,
152,7,,
152,8,,
152,9,,
152,10,,
152,11,,
152,12,,
152,13,,
152,14,,
152,15,,
152,16,,
152,17,,
152,18,,
152,19,,
152,20,,
153,5,,
153,6,,
153,7,,
153,8,,
153,9,,
153,10,,
153,11,,
153,12,,
153,13,,
153,14,,
153,15,,
153,16,,
153,17,,
153,18,,
153,19,,
153,20,,
154,5,,
154,6,,
154,7,,
154,8,,
154,9,,
154,10,,
154,11,,
154,12,,
154,13,,
154,14,,
154,15,,
154,16,,
154,17,,
154,18,,
154,19,,
154,20,,
155,5,,
155,6,,
155,7,,
155,8,,
155,9,,
155,10,,
155,11,,
155,12,,
155,13,,
155,14,,
155,15,,
155,16,,
155,17,,
155,18,,
155,19,,
155,20,,
156,5,,
156,6,,
156,7,,
156,8,,
156,9,,
156,10,,
156,11,,
156,12,,
156,13,,
156,14,,
156,15,,
156,16,,
156,17,,
156,18,,
156,19,,
156,20,,
157,5,,
157,6,,
157,7,,
157,8,,
157,9,,
157,10,,
157,11,,
157,12,,
157,13,,
157,14,,
157,15,,
157,16,,
157,17,,
157,18,,
157,19,,
157,20,,
158,5,,
158,6,,
158,7,,
158,8,,
158,9,,
158,10,,
158,11,,
158,12,,
158,13,,
158,14,,
158,15,,
158,16,,
158,17,,
158,18,,
158,19,,
158,20,,
159,5,,
159,6,,
159,7,,
159,8,,
159,9,,
159,10,,
159,11,,
159,12,,
159,13,,
159,14,,
159,15,,
159,16,,
159,17,,
159,18,,
159,19,,
159,20,,
160,5,,
160,6,,
160,7,,
160,8,,
160,9,,
160,10,,
160,11,,
160,12,,
160,13,,
160,14,,
160,15,,
160,16,,
160,17,,
160,18,,
160,19,,
160,20,,
161,5,,
161,6,,
161,7,,
161,8,,
161,9,,
161,10,,
161,11,,
161,12,,
161,13,,
161,14,,
161,15,,
161,16,,
161,17,,
161,18,,
161,19,,
161,20,,
162,5,,
162,6,,
162,7,,
162,8,,
162,9,,
162,10,,
162,11,,
162,12,,
162,13,,
162,14,,
162,15,,
162,16,,
162,17,,
162,18,,
162,19,,
162,20,,
163,5,,
163,6,,
163,7,,
163,8,,
163,9,,
163,10,,
163,11,,
163,12,,
163,13,,
163,14,,
163,15,,
163,16,,
163,17,,
163,18,,
163,19,,
163,20,,
164,5,,
164,6,,
164,7,,
164,8,,
164,9,,
164,10,,
164,11,,
164,12,,
164,13,,
164,14,,
164,15,,
164,16,,
164,17,,
164,18,,
164,19,,
164,20,,
165,5,,
165,6,,
165,7,,
165,8,,
165,9,,
165,10,,
165,11,,
165,12,,
165,13,,
165,14,,
165,15,,
165,16,,
165,17,,
165,18,,
165,19,,
165,20,,
166,5,,
166,6,,
166,7,,
166,8,,
166,9,,
166,10,,
166,11,,
166,12,,
166,13,,
166,14,,
166,15,,
166,16,,
166,17,,
166,18,,
166,19,,
166,20,,
167,5,,
167,6,,
167,7,,
167,8,,
167,9,,
167,10,,
167,11,,
167,12,,
167,13,,
167,14,,
167,15,,
167,16,,
167,17,,
167,18,,
167,19,,
167,20,,
168,5,,
168,6,,
168,7,,
168,8,,
168,9,,
168,10,,
168,11,,
168,12,,
168,13,,
168,14,,
168,15,,
168,16,,
168,17,,
168,18,,
168,19,,
168,20,,
169,5,,
169,6,,
169,7,,
169,8,,
169,9,,
169,10,,
169,11,,
169,12,,
169,13,,
169,14,,
169,15,,
169,16,,
169,17,,
169,18,,
169,19,,
169,20,,
170,5,,
170,6,,
170,7,,
170,8,,
170,9,,
170,10,,
170,11,,
170,12,,
170,13,,
170,14,,
170,15,,
170,16,,
170,17,,
170,18,,
170,19,,
170,20,,
